field	occupation	count	expected	diff
ARCHITECTURE	BUS-HUMAN RESOURCES WORKERS	802	1425.5464924474	0.562591261841706
ARCHITECTURE	BUS-MANAGEMENT ANALYSTS	1518	2024.62496925941	0.749768487027634
ARCHITECTURE	BUS-MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS	467	796.506941180356	0.586310019229645
ARCHITECTURE	CMM-COMPUTER OCCUPATIONS, ALL OTHER	434	747.183591878627	0.580847872888648
ARCHITECTURE	CMM-COMPUTER PROGRAMMERS	483	1447.60216539547	0.333655206897298
ARCHITECTURE	CMM-COMPUTER SUPPORT SPECIALISTS	363	957.030289970971	0.379298339670117
ARCHITECTURE	CMM-COMPUTER SYSTEMS ANALYSTS	724	1544.95380827467	0.468622424905072
ARCHITECTURE	CMM-SOFTWARE DEVELOPERS, APPLICATIONS AND SYSTEMS SOFTWARE	1160	3897.42650394944	0.297632296292058
ARCHITECTURE	CMS-CLERGY	457	1236.10288085745	0.369710326767456
ARCHITECTURE	CMS-COUNSELORS	138	1762.83302990826	0.078283080506599
ARCHITECTURE	CMS-SOCIAL WORKERS	305	2363.41313575024	0.129050649413092
ARCHITECTURE	EDU-ELEMENTARY AND MIDDLE SCHOOL TEACHERS	1369	10904.0911187863	0.125549207640185
ARCHITECTURE	EDU-OTHER TEACHERS AND INSTRUCTORS	206	994.094308091551	0.207223799918416
ARCHITECTURE	EDU-POSTSECONDARY TEACHERS	2755	3671.47503313889	0.75037960904902
ARCHITECTURE	EDU-SECONDARY SCHOOL TEACHERS	350	2661.19650105771	0.131519788133229
ARCHITECTURE	EDU-SPECIAL EDUCATION TEACHERS	30	730.268416191871	0.0410807852767903
ARCHITECTURE	ENG-CIVIL ENGINEERS	1608	1137.77398733969	1.41328595827698
ARCHITECTURE	ENG-ELECTRICAL AND ELECTRONICS ENGINEERS	192	873.836863660016	0.219720645791732
ARCHITECTURE	ENG-MECHANICAL ENGINEERS	210	751.61697282424	0.27939762883602
ARCHITECTURE	ENG-MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS	910	1730.36129527614	0.525901730745068
